t,imię i nazwisko,pozycja,narodowość,flaga,data urodzenia,wiek,mecze,minuty,gole,asysty,żółte kartki,czerwone kartki,czyste konta,kanadyjka,obronione karne
1,Vítězslav Jaroš,bramkarz,Czechy,,23.07.2001,24,5,450,,,,,,0,
2,Lucas Rosa,obrońca,Brazylia /Włochy,,03.04.2000,25,3,263,,1,1,,,1,
3,Anton Gaaei,obrońca,Dania,,19.11.2002,23,6,403,1,1,2,,,2,
4,Kō Itakura,obrońca,Japonia,,27.01.1997,29,6,454,,,1,,,0,
5,Owen Wijndal,obrońca,Holandia /Surinam,,28.11.1999,26,5,331,,,1,,,0,
6,Youri Regger,pomocnik,Holandia,,18.08.2003,22,7,339,,,,,,0,
7,Raúl Moro,napastnik,Hiszpania,,05.12.2002,23,5,195,,,,,,0,
8,Kenneth Taylor,pomocnik,Holandia,,16.05.2002,23,4,256,,,,1,,0,
9,Kasper Dolberg,napastnik,Dania,,06.10.1997,28,4,179,1,,,,,1,
10,Oscar Gloukh,pomocnik,Izrael,,01.04.2004,21,7,407,3,,,,,3,
11,Mika Godts,napastnik,Belgia,,07.06.2005,20,7,488,,1,,,,1,
12,Joeri Heerkens,bramkarz,Holandia /Czechy,,08.05.2006,19,0,0,,,,,,0,
15,Youri Baas,obrońca,Holandia,,17.03.2003,22,7,594,,,2,,,0,
16,James McConnell,pomocnik,Anglia,,13.09.2004,21,3,118,,,1,,,0,
17,Oliver Edvardsen,napastnik,Norwegia,,19.03.1999,26,3,142,1,,,,,1,
18,Davy Klaassen,pomocnik,Holandia,,21.02.1993,32,7,493,,,1,,,0,
19,Don-Angelo Konadu,napastnik,Holandia /Ghana,,03.05.2006,19,1,26,,1,,,,1,
21,Branco van den Boomen,pomocnik,Holandia,,21.07.1995,30,0,0,,,,,,0,
22,Remko Pasveer,bramkarz,Holandia,,08.11.1983,42,2,180,,,,,,0,
23,Steven Berghuis,napastnik,Holandia,,19.12.1991,34,1,45,,,,,,0,
24,Jorthy Mokio,pomocnik,Belgia /Demokratyczna Republika Konga,,29.02.2008,17,6,398,,,1,,,0,
25,Wout Weghorst,napastnik,Holandia,,07.08.1992,33,4,287,1,,2,,,1,
28,Kian Fitz-Jim,pomocnik,Holandia /Surinam,,05.07.2003,22,5,59,,,,,,0,
30,Aaron Bouwman,obrońca,Holandia /Anglia,,28.08.2007,18,2,180,,,1,,,0,
37,Josip Šutalo,obrońca,Chorwacja,,28.02.2000,25,5,313,,,,,,0,
41,Gerald Alders,obrońca,Holandia /Nambia,,07.05.2005,20,1,45,,,,,,0,
43,Rayane Bounida,pomocnik,Belgia /Maroko,,03.03.2006,19,3,114,,,,,,0,
44,Mark Verkuijl,pomocnik,Holandia,,10.02.2006,19,,,,,,,,0,
45,Ryan van de Pavert,obrońca,Holandia,,24.01.2006,20,,,,,,,,0,
46,Lucas Jetten,obrońca,Holandia /RPA,,07.06.2007,18,,,,,,,,0,
48,Sean Steur,pomocnik,Holandia,,11.01.2008,18,2,95,,1,,,,1,
49,Kayden Wolff,napastnik,Holandia /Surinam,,19.06.2006,19,,,,,,,,0,
51,Charlie Setford,bramkarz,Holandia /Anglia,,11.05.2004,21,,,,,,,,0,
52,Paul Reverson,bramkarz,Ghana /Holandia,,20.06.2005,20,0,0,,,,,,0,
53,Mylo van der Lans,pomocnik,Holandia,,11.04.2007,18,0,0,,,,,,,
54,Skye Vink,napastnik,Holandia /Surinam,,01.07.2006,19,,,,,,,,,
55,Tijn Peters,pomocnik,Holandia,,03.03.2006,19,,,,,,,,,
56,David Kalokoh,napastnik,Holandia /Sierra Leone,,21.04.2005,20,,,,,,,,,
57,Jinairo Johnson,obrońca,Holandia /Jamajka,,08.04.2007,18,,,,,,,,,
58,Nassef Chourak,pomocnik,Holandia /Maroko,,21.07.2004,21,,,,,,,,,
59,Emre Ünüvar,napastnik,Holandia /Turcja,,18.03.2008,17,,,,,,,,,
61,Avery Appiah,pomocnik,Holandia /Ghana,,02.04.2006,19,,,,,,,,,
62,Aymean El Hani,bramkarz,Holandia /Maroko,,09.05.2007,18,,,,,,,,,
63,Don O'Niel,pomocnik,Holandia /Surinam,,11.08.2006,19,,,,,,,,,
64,Damian van der Vaart,pomocnik,Holandia,,28.05.2006,19,,,,,,,,,
65,Luca Messori,obrońca,Holandia /Włochy,,25.10.2007,18,,,,,,,,,
68,Abdellah Ouazane,pomocnik,Maroko /Holandia,,15.01.2009,17,0,0,,,,,,,
,,,,,,"24,56",111,6930,7,5,13,1,0,12,0
lp,imię i nazwisko,funkcja,narodowość,flaga,data urodzenia,wiek,mecze,punkty,strzelone,stracone,wygrane,remisy,porażki,,
,John Heitinga,trener,Holandia,,15.11.1983,42,4,0,1,14,0,0,4,,
,Fred Grim,trener tymczasowy,Holandia,,17.08.1965,60,3,6,6,5,2,0,1,,
,,,,,,,7,6,7,19,2,0,5,,
kolejka,gospodarze,goście,gole dla Ajaxu,wynik,stadion,,,,,,,,,,
1,Ajax,Inter Mediolan,,0-2,Amsterdam (Johan Cruyff Arena),,,,,,,,,,
2,Marsylia,Ajax,,4-0,Marsylia (Stade Vélodrome),,,,,,,,,,
3,Chelsea,Ajax,Wout Weghorst 33 (k),5-1,Londyn (Stamford Bridge),,,,,,,,,,
4,Ajax,Galatasaray,,0-3,Amsterdam (Johan Cruyff Arena),,,,,,,,,,
5,Ajax,Benfica,,,Amsterdam (Johan Cruyff Arena),,,,,,,,,,
6,Karabach,Ajax,"Kasper Dolberg 39, Oscar Gloukh 79, 90, Anton Gaaei 83",2-4,Baku (Tofiq Bəhramov adına Respublika stadionu),,,,,,,,,,
7,Villarreal,Ajax,"Oscar Gloukh 61, Oliver Edvardsen 90",1-2,Villarreal (Estadio de la Cerámica),,,,,,,,,,
8,Ajax,Olympiacos,,,Amsterdam (Johan Cruyff Arena),,,,,,,,,,
